date,location_name,latitude,longitude,day1_rainfall,day2_rainfall,day3_rainfall,cumulative_3day_rainfall,rainfall_anomaly,elevation,slope,aspect,soil_moisture_estimate,temperature,landslide_occurred
2020-06-02,Haflong Dima Hasao,25.176,93.024,64.5,55.6,35.0,155.1,71.1,941.8,26.55,133.24,99.0,23.4,1
2020-06-02,Jorhat Alluvial Basin,26.7509,94.2037,72.4,53.6,39.0,165.0,81.0,1446.0,29.58,99.86,99.0,20.1,0
2021-12-20,East Khasi Hills Meghalaya (Pynursla) (Safe Baseline Sector 1),25.2486,91.858,1.2,1.2,0.6,3.0,1.2,1026.0,26.57,323.13,26.44,11.8,0
2021-12-22,Haflong Dima Hasao (Safe Baseline Sector 3),25.2481,92.9515,0.8,1.0,0.5,2.3,0.5,676.1,18.15,112.74,26.04,14.1,0
2021-12-25,Aizawl Melthum Mizoram (Safe Baseline Sector 3),23.8118,92.655,1.0,1.2,0.5,2.7,0.9,885.1,32.04,133.95,26.27,12.7,0
2022-01-06,Bhalukpong West Kameng (Safe Baseline Sector 1),27.0714,92.6539,2.0,1.5,1.1,4.6,2.2,1949.9,37.18,202.84,27.26,4.8,0
2022-01-10,Kohima High Ridge (Safe Baseline Sector 2),25.5784,94.1669,1.2,1.4,0.7,3.3,0.9,1128.1,23.61,31.74,26.52,10.2,0
2022-01-11,Mangan North Sikkim (Safe Baseline Sector 2),27.5346,88.5159,2.1,1.3,1.1,4.5,2.1,1747.4,42.38,162.3,27.21,6.1,0
2022-01-11,East Khasi Hills Meghalaya (Mawsynram) (Safe Baseline Sector 2),25.331,91.6386,1.2,1.3,0.7,3.2,0.8,693.0,37.92,149.46,26.46,13.0,0
2022-02-15,Chungthang Teesta Basin Sikkim (Safe Baseline Sector 3),27.5764,88.7427,3.8,3.0,2.0,8.8,4.3,1838.7,45.92,181.86,29.34,8.0,0
2022-02-27,Aizawl Melthum Mizoram (Safe Baseline Sector 1),23.7327,92.6702,3.0,1.8,1.6,6.4,1.9,906.5,30.95,138.53,27.97,14.1,0
2022-03-02,Bhalukpong West Kameng (Safe Baseline Sector 2),27.0929,92.5691,4.6,6.3,2.6,13.5,3.9,1500.9,28.71,106.62,31.26,14.7,0
2022-03-03,Sonapur Tunnel NH-6 (Safe Baseline Sector 1),25.2176,92.2827,7.8,6.4,4.2,18.4,8.8,1531.0,35.69,227.36,34.05,14.5,0
2022-03-05,Kohima High Ridge (Safe Baseline Sector 1),25.651,94.1723,8.3,5.5,4.5,18.3,8.7,1244.0,39.48,56.57,33.99,16.4,0
2022-03-05,East Khasi Hills Meghalaya (Pynursla) (Safe Baseline Sector 3),25.2427,91.8611,8.3,5.6,4.5,18.4,8.8,954.0,2.78,210.96,34.05,18.3,0
2022-05-14,Sonapur Tunnel NH-6,25.1235,92.3651,26.5,21.6,14.7,62.8,19.3,1530.8,34.79,227.31,54.27,18.5,1
2022-05-14,Silchar Barak Valley Plains,24.8333,92.7789,24.9,23.8,13.9,62.6,19.1,1267.7,31.11,215.94,54.16,20.3,0
2022-06-30,Noney district Manipur (Tupul),24.7174,93.6331,59.4,43.1,32.5,135.0,51.0,1179.0,15.85,183.37,89.35,21.8,1
2022-06-30,Guwahati Valley Brahmaputra Basin,26.1445,91.7362,56.3,42.1,31.0,129.4,45.4,898.6,25.18,136.85,86.16,23.7,0
2022-11-21,Noney district Manipur (Tupul) (Safe Baseline Sector 2),24.6649,93.71,4.6,2.6,2.5,9.7,4.3,1346.0,11.8,118.61,29.72,13.3,0
2022-11-21,Sonapur Tunnel NH-6 (Safe Baseline Sector 2),25.1331,92.33,3.4,3.6,1.9,8.9,3.5,1369.5,33.76,192.75,29.26,13.1,0
2022-11-23,Aizawl Melthum Mizoram (Safe Baseline Sector 2),23.6795,92.6517,2.7,3.5,1.6,7.8,2.4,1068.1,30.89,173.17,28.64,15.1,0
2022-11-24,East Khasi Hills Meghalaya (Cherrapunji) (Safe Baseline Sector 2),25.3625,91.6993,2.7,3.5,1.5,7.7,2.3,1261.0,31.23,119.21,28.58,13.8,0
2022-12-01,Bhalukpong West Kameng (Safe Baseline Sector 3),27.0635,92.6652,1.6,1.2,0.8,3.6,1.8,1976.0,38.75,208.42,26.78,5.7,0
2022-12-03,Noney district Manipur (Tupul) (Safe Baseline Sector 3),24.805,93.6428,1.6,0.8,0.8,3.2,1.4,566.0,19.52,29.58,26.55,14.8,0
2022-12-07,Haflong Dima Hasao (Safe Baseline Sector 2),25.1215,93.0126,1.4,0.8,0.7,2.9,1.1,978.8,28.5,141.18,26.38,12.1,0
2022-12-08,East Khasi Hills Meghalaya (Cherrapunji) (Safe Baseline Sector 3),25.2516,91.6733,1.5,1.2,0.8,3.5,1.7,366.0,20.66,314.1,26.72,16.1,0
2022-12-11,Noney district Manipur (Tupul) (Safe Baseline Sector 1),24.81,93.7226,1.5,1.1,0.8,3.4,1.6,1042.0,29.37,231.01,26.67,11.7,0
2023-01-08,Mangan North Sikkim (Safe Baseline Sector 1),27.4922,88.5806,1.9,1.0,1.0,3.9,1.5,1888.8,44.19,192.59,26.86,5.2,0
2023-01-13,Tawang High Pass Arunachal (Safe Baseline Sector 2),27.6574,91.8732,2.0,0.9,1.1,4.0,1.6,1983.2,33.14,209.98,26.92,4.6,0
2023-02-17,Mangan North Sikkim (Safe Baseline Sector 3),27.5841,88.6023,3.9,1.9,2.1,7.9,3.4,1924.3,41.39,200.2,28.83,7.5,0
2023-07-21,Agartala Low Undulating Terraces,23.8315,91.2868,84.1,61.6,45.3,191.0,93.5,1043.4,31.24,167.86,99.0,23.2,0
2023-07-21,Kohima High Ridge,25.6751,94.1086,54.0,64.9,30.3,149.2,51.7,1359.8,38.85,81.39,95.42,21.2,1
2023-08-11,Silchar Barak Valley Plains,24.8333,92.7789,67.2,49.0,36.2,152.4,74.4,1267.7,31.11,215.94,99.0,21.6,0
2023-08-11,Bhalukpong West Kameng,27.012,92.65,45.7,41.1,25.5,112.3,34.3,1837.0,39.06,178.65,77.31,17.9,1
2023-10-04,Chungthang Teesta Basin Sikkim,27.6042,88.6467,16.8,11.4,9.1,37.3,15.7,2152.6,47.31,249.14,43.02,11.5,1
2023-10-04,Jorhat Alluvial Basin,26.7509,94.2037,12.6,10.6,7.0,30.2,8.6,1446.0,29.58,99.86,38.97,16.1,0
2023-11-26,East Khasi Hills Meghalaya (Pynursla) (Safe Baseline Sector 2),25.3217,91.8635,4.6,2.0,2.5,9.1,3.7,785.0,27.96,216.06,29.38,16.9,0
2023-11-26,East Khasi Hills Meghalaya (Cherrapunji) (Safe Baseline Sector 1),25.3475,91.8165,4.4,2.7,2.4,9.5,4.1,880.0,26.6,288.43,29.6,16.3,0
2023-11-29,Tawang High Pass Arunachal (Safe Baseline Sector 1),27.6312,91.7766,4.7,3.2,2.5,10.4,5.0,1545.9,37.99,116.27,30.12,12.0,0
2023-12-03,Tawang High Pass Arunachal (Safe Baseline Sector 3),27.6262,91.8955,1.1,0.9,0.6,2.6,0.8,2006.9,41.39,215.05,26.21,5.5,0
2023-12-04,Chungthang Teesta Basin Sikkim (Safe Baseline Sector 1),27.626,88.6157,1.6,1.1,0.8,3.5,1.7,2008.9,42.11,218.33,26.72,5.4,0
2023-12-11,Haflong Dima Hasao (Safe Baseline Sector 1),25.2317,92.9308,1.3,0.8,0.7,2.8,1.0,738.1,21.57,126.01,26.33,13.7,0
2023-12-21,Sonapur Tunnel NH-6 (Safe Baseline Sector 3),25.1995,92.2786,1.4,0.8,0.7,2.9,1.1,1469.6,38.05,214.2,26.38,8.9,0
2024-01-25,Kohima High Ridge (Safe Baseline Sector 3),25.639,94.1335,1.9,1.3,1.0,4.2,1.8,1230.3,36.32,53.63,27.03,9.5,0
2024-02-03,East Khasi Hills Meghalaya (Mawsynram) (Safe Baseline Sector 3),25.2228,91.6558,3.3,2.3,1.8,7.4,2.9,522.0,15.36,80.39,28.54,16.6,0
2024-04-06,Chungthang Teesta Basin Sikkim (Safe Baseline Sector 2),27.5404,88.6522,14.0,12.1,7.7,33.8,13.4,2070.7,41.27,231.58,41.21,13.5,0
2024-04-07,East Khasi Hills Meghalaya (Mawsynram) (Safe Baseline Sector 1),25.226,91.6071,17.6,11.0,9.5,38.1,17.7,203.0,14.4,13.13,43.66,25.7,0
2024-05-25,East Khasi Hills Meghalaya (Mawsynram),25.297,91.5822,27.2,18.8,15.1,61.1,17.6,1433.0,2.16,263.66,53.3,19.2,1
2024-05-25,Tezpur North Bank Plateau,26.6338,92.7926,29.9,28.5,16.4,74.8,31.3,894.3,28.15,135.92,61.11,22.7,0
2024-05-28,Silchar Barak Valley Plains,24.8333,92.7789,37.2,23.8,20.1,81.1,37.6,1267.7,31.11,215.94,64.7,20.3,0
2024-05-28,Aizawl Melthum Mizoram,23.7271,92.7176,33.6,20.2,18.2,72.0,28.5,968.3,28.51,151.78,59.51,22.2,1
2024-06-05,East Khasi Hills Meghalaya (Cherrapunji),25.28,91.73,72.7,42.6,39.2,154.5,70.5,1335.0,23.84,28.74,99.0,20.8,1
2024-06-05,Agartala Low Undulating Terraces,23.8315,91.2868,66.1,50.1,35.9,152.1,68.1,1043.4,31.24,167.86,99.0,22.7,0
