date,location_name,latitude,longitude,severity,state,notes
2022-06-30,Noney district Manipur (Tupul),24.7174,93.6331,Critical,Manipur,Massive debris slide at Tupul railway yard following 3 days of torrential monsoon
2024-05-28,Aizawl Melthum Mizoram,23.7271,92.7176,Critical,Mizoram,Multiple catastrophic slope failures triggered by Cyclone Remal rainfall
2024-05-25,East Khasi Hills Meghalaya (Mawsynram),25.2970,91.5822,Critical,Meghalaya,Slope collapse along arterial road corridor following continuous downpour
2024-06-05,East Khasi Hills Meghalaya (Cherrapunji),25.2800,91.7300,Warning,Meghalaya,High antecedent moisture triggered slip along hillside cut
2024-06-20,East Khasi Hills Meghalaya (Pynursla),25.3050,91.9050,Critical,Meghalaya,Severe mud and rock failure along NH-206 corridor
2022-05-14,Sonapur Tunnel NH-6,25.1235,92.3651,Critical,Meghalaya,Cliff face fracture and debris wash blocking primary economic lifeline
2020-06-02,Haflong Dima Hasao,25.1760,93.0240,Warning,Assam,Hill cutting collapse following heavy pre-monsoon precipitation
2023-07-21,Kohima High Ridge,25.6751,94.1086,Critical,Nagaland,Active slope displacement impacting urban settlement structures
2023-08-11,Bhalukpong West Kameng,27.0120,92.6500,Warning,Arunachal Pradesh,Sedimentary rock fall blocking Bhalukpong-Bomdila highway
2024-06-13,Mangan North Sikkim,27.5050,88.5330,Critical,Sikkim,Widespread slope instability and river damming post flash storm
2023-10-04,Chungthang Teesta Basin Sikkim,27.6042,88.6467,Critical,Sikkim,South Lhonak GLOF and torrential rainfall induced catastrophic slope scouring
2024-07-02,Tawang High Pass Arunachal,27.5861,91.8594,Critical,Arunachal Pradesh,High altitude periglacial slope saturation and rock-debris avalanche
